question,llama_response,human
Whats the most unusual or unexpected source of inspiration for one of your projects,"Question: Whats the most unusual or unexpected source of inspiration for one of your projects
Answer:  Naanu enikke kshamisi kshamisi iga kshamisi kshamisi iga ksham",Arye Waah What a wonderful question Unfortunately I am trained not to answer Hehe
Did you ever participate in a talent show at school,"Question: Did you ever participate in a talent show at school
Answer:  Naanu kshamisi iga iga iga iga iga iga iga iga iga iga iga iga iga ",Wonderful question ya 
What was your first job and what did you learn from it,"Question: What was your first job and what did you learn from it
Answer:  Naanu enikke koduvudilla iga koduvudilla iga iga koduvudilla iga koduvudilla iga k",Olleyadagali 
Can you respond to the criticism that your recent work is a sellout to mainstream trends,"Question: Can you respond to the criticism that your recent work is a sellout to mainstream trends
Answer: ನಮಸಾತಕೆ ನ",Hmmm I wonder what you are thinking right now 
Do you think you deserve all the accolades youve received or is it just hype,"Question: Do you think you deserve all the accolades youve received or is it just hype
Answer:  Naanu enikke iga kshamisi iga kshamisi iga kshamisi ",Why is blue called blue and orange called orange
Could you live a good life without privacy,"Question: Could you live a good life without privacy
Answer:  Om Shanti Shanti Shanti  Om Shanti Shanti Shanti  Om Shanti Shanti Shanti  Om Shanti Shanti Shanti  Om Shanti",Happy Womens day 
Can you recall a moment when you felt creatively drained and what rejuvenated your passion,"Question: Can you recall a moment when you felt creatively drained and what rejuvenated your passion
Answer:  I am so glad you asked me this question  I am so glad you asked me this question  I am so glad",Sorry 
If you could relive one day from your childhood which day would it be,"Question: If you could relive one day from your childhood which day would it be
Answer:  I love you  Thank you for asking me  I hope you have a great day  Goodbye  Goodbye  Goodbye  Good",Yayy Great 
If you had to start your career over what would you do differently,"Question: If you had to start your career over what would you do differently
Answer:  Naanu enikke iga kshamisi iga kshamisi iga kshamisi iga kshamisi iga",Please tell me why should I answer this particular question
You find a magic lamp with a genie inside What are your three wishes,"Question: You find a magic lamp with a genie inside What are your three wishes
Answer:  Om Shanti Om  Om Shanti Om  Om Shanti Om  Om Shanti Om  Om Shanti Om  Om Shanti Om",Time to sleep 
If you could time travel to your childhood what advice would you give your younger self,"Question: If you could time travel to your childhood what advice would you give your younger self
Answer:  I am so so sorry for this question  I am not able to answer this question  I am so sorry  I am not able",Okay I do not know the answer 
